name;spelling;born;country;start_year;end_year;played_1v1;played_tg;voobly_elo;earnings;teams
Feige;;;pl;;-1;1909;1452;;1556.50;
DreaIVIS;;;fi;;-1;244;27;;1556.12;
Yasin;;;tr;;-1;1954;1450;;1544.61;
Hammet;;;br;;-1;;;;1537.50;
KicK;;;es;;-1;;;;1531.91;
Trundo;;;gb;;-1;;;;1520.00;
Sensar;;;us;;-1;736;766;;1513.33;
zyatou;;;jp;;-1;;;;1500.00;
Tamock;tamock;;fr;;-1;;;;1500.00;
Koka;;;fr;;-1;;;;1474.69;
JackK;;;pl;;-1;2634;975;;1455.46;
ShiNe_;Tsu_ShiNe;;de;;-1;;;;1449.16;
_Melkor;;;ie;;-1;;;;1430.66;
komtan;;;jp;;-1;2716;318;;1429.17;
PaTiN;;;ar;;-1;1658;1854;;1405.78;
Sunset;;;fi;;-1;404;3098;;1404.85;
Whocl;;;cl;;-1;3908;2505;;1390.89;
Poisn;;;ca;;-1;122;755;;1380.96;
Aluba;;;tw;;-1;;;;1379.77;
Twigg;;;ar;;-1;2533;195;;1376.53;
Wisepii;;;cl;;-1;1015;3430;;1363.25;
uNLeAsHeD;Leash;;us;;-1;342;597;;1358.63;
jouds;;;de;;-1;512;1795;;1351.33;
FreakinChris;;;at;;-1;37;1036;;1350.81;
Survivalist;;;ca;;-1;10905;456;;1342.95;
Darknoob;;;nl;;-1;7076;2035;;1332.59;
Nacho;Riverplation;;ar;;-1;1461;244;;1300.00;
Ondrej94;;;sk;;-1;96;1629;;1296.00;
JuanNNN;Juan;;ar;;-1;6;278;;1295.33;Bots United
King Boo;King_boo;;gb;;-1;1611;2413;;1288.98;
HamRTime;;;au;;-1;195;4;;1284.94;
Live4Son;;;hk;;-1;;;;1282.00;
_Cath_Bika;;;cn;;-1;;;;1266.67;
Boomerx_;;;kz;;-1;;;;1250.00;
prisma09;;;ar;;-1;5068;2158;;1236.80;
_Pela_;;;ar;;-1;3603;818;;1234.19;
Wraith;;;fr;;-1;;;;1223.88;
ratS;;;hk;;-1;;;;1211.90;
ElNoniro;;;pl;;-1;386;1655;;1199.17;
rAlbEr;;;es;;-1;;;;1185.51;zilla,ThuG Life
Edie;;;fr;;-1;405;91;;1183.05;
Sologhost;;;us;;-1;;;;1177.50;
El_Matador;el_matador;;de;;-1;7938;1194;;1172.96;
cebdos;Miaou;;fr;;-1;21;1413;;1168.24;
PLP;;;fr;;-1;3844;472;;1164.52;
Ovenka;;;cz;;-1;666;1829;;1158.15;CZ
JonSlow;;;il;;-1;7795;765;;1139.92;
LB10;;;at;;-1;757;625;;1138.84;
Duck;;;cn;;-1;;;;1126.72;
BT_002;;;cn;;-1;;;;1125.00;
feng_yun;;;cn;;-1;;;;1125.00;
Leozim;;;br;;-1;;;;1122.98;
cloud;;;hk;;-1;;;;1120.36;Poison of Zone
xMexicanx;;;mx;;-1;;;;1120.00;
Ozone;;;co;;-1;13538;1268;;1119.98;
8th_wonder;;;lv;;-1;433;110;;1117.84;
Chero;;;es;;-1;;;;1115.00;
Mica;;;ar;;-1;839;743;;1110.63;
Dench;;;ru;;-1;1788;2155;;1109.52;
Fresh To Death;;;ru;;-1;54;3708;;1109.16;
Air_feeling;feeling;;cn;;-1;;;;1087.66;Air
Feanor;feanor;;ie;;-1;;;;1082.24;
SeekDefeat;;;sg;;-1;;;;1071.97;
kyo;;;hk;;-1;;;;1062.03;
Kongensgade;Kongen_42,kongen;;dk;;-1;6456;1527;;1046.18;
IGs;;;br;;-1;;;;1025.00;
Chrazini;;;dk;;-1;48;3187;;1023.68;
Logan;;;br;;-1;;;;1010.00;
Fire_de;fire,pg_fire;;de;;-1;2805;155;;1000.00;The Legion Clan,pG
Magi;;;ca;;-1;;;;1000.00;riZen
Pepin;;;fr;;-1;;;;1000.00;
HenkDeSuperNerd;;;nl;;-1;44;1568;;1000.00;
PhilippHJS;;;de;;-1;1409;2558;;991.58;
Tiggerr;;;ca;;-1;6875;2602;;978.60;
TheMadCADer;;;us;;-1;;;;950.00;
The Bloodless;;;us;;-1;;;;946.25;
StonePleaseAoE;stoneplease;;de;;-1;4633;597;;939.24;
BL4CK;;;ar;;-1;6819;742;;934.41;Alliance eSports
Shed;;;au;;-1;539;2566;;932.40;
_CX_youwei;;;cn;;-1;;;;917.33;
emalius2;emalius;;fi;;-1;2350;562;;913.49;
Girino;;;br;;-1;;;;912.50;
Mullisaukko;;;fi;;-1;2592;3567;;909.80;
Stick;;;kz;;-1;;;;900.00;
YangGe;;;cn;;-1;;;;900.00;
_nozuonodie_;;;cn;;-1;;;;900.00;
Zain;;;au;;-1;108;1399;;896.58;
Nahuel05;;;ar;;-1;3692;1744;;894.93;
Myx4ever;;;cn;;-1;;;;883.33;
Nazarea;;;de;;-1;;;;875.00;StorM
FletcheR;;;no;;-1;;;;875.00;StorM
Rise;;;it;;-1;3114;649;;869.55;
bvirus;bvirusZilla__;;pt;;-1;44;168;;861.67;zilla
Nick;;;gb;;-1;69;1009;;860.25;
Youpudding;;;tw;;-1;388;886;;857.74;
Mundi;;;hk;;-1;;;;854.76;
MrPlanner;;;si;;-1;1267;350;;853.15;
Rayzor;;;au;;-1;1717;883;;847.71;
IamZak;;;us;;-1;124;578;;839.01;
CNA_hs;hs;;cn;;-1;;;;838.30;
JohNNieW_aLc_eR;;;de;;-1;;;;837.42;
Kaydos;;;au;;-1;2146;1226;;833.33;
Mists;;;cn;;-1;;;;832.50;
B1ade;;;ca;;-1;;;;822.50;TsC,The Legion Clan,The Immortals
AngelinaJolie;;;nl;;-1;2061;1679;;809.92;
Nanimaren;;;it;;-1;3156;1023;;806.26;
c0LoRz;;;us;;-1;;;;805.37;
Ubetnir;;;tr;;-1;1325;1670;;802.69;
gutter_rat;;;us;;-1;;;;800.00;
Cain;;;br;;-1;;;;800.00;
Inc;;;us;;-1;3659;3843;;796.25;
Bulletchen;;;ch;;-1;372;291;;790.43;
Wean Dinchester;;;at;;-1;969;3601;;786.94;
_CCS_Acuo;;;cn;;-1;;;;779.33;
Socksyy;;;au;;-1;1711;252;;773.94;Alliance eSports
